時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
101年 2月	0	 88 	 4 	 10 	 13 	0	0	 15 	0
101年 3月	 1 	 145 	 2 	 8 	 9 	0	 1 	 17 	0
101年 4月	0	 132 	 6 	 15 	 8 	0	0	 9 	0
101年 5月	0	 152 	 2 	 8 	 4 	 1 	 2 	 13 	0
101年 6月	0	 113 	 3 	 3 	 6 	0	 1 	 12 	0
101年 7月	0	 127 	 6 	 4 	 11 	 3 	 2 	 8 	0
101年 8月	 2 	 124 	 3 	 9 	 10 	0	 3 	 16 	0
101年 9月	0	 111 	 7 	 7 	 15 	0	 2 	 12 	0
101年 10月	 2 	 122 	 4 	 4 	 13 	 2 	 3 	 14 	0
101年 11月	 2 	 129 	 6 	 5 	 9 	0	0	 10 	0
101年 12月	0	 160 	 6 	 3 	 13 	 2 	 1 	 16 	0
102年	 2 	 1,903 	 60 	 60 	 118 	 1 	 15 	 133 	0
102年 1月	0	 185 	 7 	 8 	 6 	 1 	0	 6 	0
102年 2月	 2 	 105 	 8 	 3 	 17 	0	0	 11 	0
102年 3月	0	 166 	 1 	 4 	 9 	0	0	 4 	0
102年 4月	0	 175 	 3 	 6 	 9 	0	 3 	 15 	0
102年 5月	0	 185 	 4 	 4 	 7 	0	 1 	 7 	0
102年 6月	0	 140 	 2 	 3 	 1 	0	0	 8 	0
102年 7月	0	 162 	 4 	 4 	 9 	0	 2 	 28 	0
102年 8月	0	 175 	 7 	 11 	 16 	0	 2 	 12 	0
102年 9月	0	 153 	 4 	 5 	 12 	0	 2 	 10 	0
102年 10月	0	 158 	 3 	 4 	 13 	0	 3 	 11 	0
102年 11月	0	 143 	 6 	 3 	 8 	0	 1 	 7 	0
102年 12月	0	 156 	 11 	 5 	 11 	0	 1 	 14 	0
103年	 4 	 1,981 	 52 	 49 	 140 	 4 	 11 	 127 	0
103年 1月	 1 	 140 	 8 	 4 	 17 	 1 	0	 4 	0
103年 2月	0	 140 	 3 	 2 	 11 	0	0	 12 	0
103年 3月	 1 	 201 	 5 	 8 	 6 	 1 	 1 	 8 	0
103年 4月	0	 185 	 5 	 4 	 11 	0	0	 10 	0
103年 5月	0	 214 	 6 	 3 	 10 	 1 	0	 3 	0
103年 6月	0	 184 	 3 	 10 	 2 	0	 1 	 11 	0
103年 7月	0	 168 	 5 	 5 	 17 	0	 2 	 26 	0
103年 8月	0	 146 	 6 	 3 	 12 	0	 1 	 9 	0
103年 9月	0	 134 	 3 	 2 	 11 	0	0	 14 	0
103年 10月	 1 	 167 	 5 	 5 	 10 	0	 1 	 10 	0
103年 11月	 1 	 146 	0	 1 	 8 	 1 	 5 	 10 	0
103年 12月	0	 156 	 3 	 2 	 25 	0	0	 10 	0
104年	 4 	 2,012 	 67 	 63 	 112 	0	 27 	 105 	0
104年 1月	0	 164 	 7 	 2 	 9 	0	 2 	 7 	0
104年 2月	0	 98 	 4 	 5 	 11 	0	0	 8 	0
104年 3月	 1 	 187 	 3 	 4 	 7 	0	 2 	 13 	0
104年 4月	0	 191 	 4 	 4 	 9 	0	 1 	 6 	0
104年 5月	 1 	 189 	 10 	 9 	 12 	0	 4 	 9 	0
104年 6月	 1 	 165 	 5 	 11 	 11 	0	 3 	 7 	0
104年 7月	0	 215 	 3 	 5 	 8 	0	 6 	 9 	0
104年 8月	 1 	 157 	 6 	 6 	 11 	0	 5 	 12 	0
104年 9月	0	 159 	 9 	 5 	 9 	0	0	 10 	0
104年 10月	0	 142 	 9 	 5 	 8 	0	 1 	 5 	0
104年 11月	0	 163 	 6 	 5 	 8 	0	 2 	 8 	0
104年 12月	0	 182 	 1 	 2 	 9 	0	 1 	 11 	0
105年	 1 	 1,984 	 46 	 42 	 45 	 5 	 17 	 158 	0
105年 1月	0	 170 	 3 	 4 	 7 	 1 	 1 	 12 	0
105年 2月	0	 127 	 3 	 2 	 4 	0	 1 	 4 	0
105年 3月	0	 191 	 1 	 11 	 3 	 1 	0	 14 	0
105年 4月	0	 169 	 2 	 2 	0	0	 3 	 14 	0
105年 5月	0	 188 	 3 	 1 	 4 	0	 4 	 12 	0
105年 6月	0	 125 	 3 	 9 	 4 	0	 2 	 17 	0
105年 7月	0	 140 	 5 	 1 	 5 	0	 2 	 20 	0
105年 8月	0	 196 	 7 	 2 	 1 	0	 2 	 11 	0
105年 9月	 1 	 129 	 3 	0	 2 	 2 	 1 	 20 	0
105年 10月	0	 180 	 5 	 8 	 2 	0	0	 15 	0
105年 11月	0	 187 	 3 	0	 4 	0	 1 	 12 	0
105年 12月	0	 182 	 8 	 2 	 9 	 1 	0	 7 	0
