時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
97年 3月	0	0	0	0	 1 	0	0	 92 	0
97年 4月	0	0	0	0	 1 	0	0	 123 	0
97年 5月	0	0	0	 1 	 1 	0	0	 138 	0
97年 6月	0	0	0	0	0	0	 1 	 132 	 1 
97年 7月	0	0	0	 1 	0	0	0	 162 	0
97年 8月	0	0	0	0	 3 	0	0	 163 	0
97年 9月	0	 1 	0	0	 4 	0	0	 134 	0
97年 10月	0	0	0	0	 3 	0	0	 151 	0
97年 11月	 1 	0	0	0	 3 	0	0	 132 	0
97年 12月	0	0	0	 1 	 13 	0	0	 123 	0
98年	0	0	0	 7 	 15 	0	 1 	 1,395 	0
98年 1月	0	0	0	0	0	0	0	 155 	0
98年 2月	0	0	0	0	 1 	0	0	 155 	0
98年 3月	0	0	0	0	 3 	0	0	 133 	0
98年 4月	0	0	0	 3 	 3 	0	0	 133 	0
98年 5月	0	0	0	0	0	0	0	 105 	0
98年 6月	0	0	0	0	 4 	0	0	 139 	0
98年 7月	0	0	0	0	0	0	0	 131 	0
98年 8月	0	0	0	0	0	0	0	 114 	0
98年 9月	0	0	0	 1 	 2 	0	0	 106 	0
98年 10月	0	0	0	 3 	 1 	0	 1 	 127 	0
98年 11月	0	0	0	0	0	0	0	 56 	0
98年 12月	0	0	0	0	 1 	0	0	 41 	0
99年	0	 22 	0	 10 	 13 	0	 1 	 1,373 	0
99年 1月	0	0	0	0	0	0	0	 105 	0
99年 2月	0	0	0	0	0	0	0	 110 	0
99年 3月	0	0	0	0	 6 	0	0	 111 	0
99年 4月	0	0	0	 1 	0	0	0	 120 	0
99年 5月	0	 16 	0	 1 	0	0	0	 124 	0
99年 6月	0	 1 	0	 1 	0	0	0	 113 	0
99年 7月	0	 5 	0	0	 1 	0	0	 124 	0
99年 8月	0	0	0	 3 	 1 	0	0	 137 	0
99年 9月	0	0	0	 1 	0	0	0	 161 	0
99年 10月	0	0	0	0	0	0	0	 180 	0
99年 11月	0	0	0	 3 	0	0	0	 78 	0
99年 12月	0	0	0	0	 5 	0	 1 	 10 	0
100年	 1 	 4 	0	 3 	 13 	0	 3 	 1,457 	 1 
100年 1月	0	0	0	0	0	0	0	 184 	0
100年 2月	0	 1 	0	0	0	0	 1 	 145 	 1 
100年 3月	0	 1 	0	 2 	 1 	0	0	 129 	0
100年 4月	0	0	0	 1 	0	0	0	 83 	0
