時間	妨害秩序	違反藥事法	違反國家總動員法	違反森林法	違反著作權法	違反專利法	違反商標法	公共危險	侵害墳墓屍體
103年 2月	0	0	0	0	0	0	0	 167 	0
103年 3月	0	 2 	0	0	 2 	0	0	 140 	 1 
103年 4月	0	0	0	0	 3 	0	0	 171 	0
103年 5月	0	 1 	0	0	 5 	0	0	 149 	0
103年 6月	0	0	0	0	 4 	0	 1 	 162 	0
103年 7月	 1 	0	0	0	 4 	0	0	 175 	0
103年 8月	0	0	0	0	 2 	0	0	 198 	0
103年 9月	0	 1 	0	0	 12 	0	0	 166 	0
103年 10月	0	0	0	0	0	0	0	 191 	0
103年 11月	0	0	0	0	0	0	0	 165 	0
103年 12月	0	0	0	0	 2 	0	0	 175 	0
104年	 3 	 1 	0	 2 	 23 	0	 2 	 2,088 	0
104年 1月	0	0	0	0	 3 	0	0	 183 	0
104年 2月	0	 1 	0	0	 1 	0	0	 244 	0
104年 3月	0	0	0	0	 3 	0	0	 167 	0
104年 4月	 1 	0	0	0	0	0	0	 178 	0
104年 5月	0	0	0	0	0	0	 1 	 144 	0
104年 6月	0	0	0	0	 2 	0	0	 156 	0
104年 7月	0	0	0	 2 	0	0	0	 161 	0
104年 8月	 2 	0	0	0	0	0	0	 174 	0
104年 9月	0	0	0	0	0	0	0	 199 	0
104年 10月	0	0	0	0	 9 	0	 1 	 168 	0
104年 11月	0	0	0	0	 4 	0	0	 171 	0
104年 12月	0	0	0	0	 1 	0	0	 143 	0
105年	 1 	 2 	0	 2 	 17 	0	 2 	 2,087 	0
105年 1月	0	 2 	0	0	 1 	0	0	 121 	0
105年 2月	0	0	0	0	 1 	0	0	 239 	0
105年 3月	0	0	0	0	0	0	0	 191 	0
105年 4月	 1 	0	0	 1 	0	0	0	 192 	0
105年 5月	0	0	0	0	0	0	0	 197 	0
105年 6月	0	0	0	0	 2 	0	0	 194 	0
105年 7月	0	0	0	0	 1 	0	0	 181 	0
105年 8月	0	0	0	0	0	0	0	 203 	0
105年 9月	0	0	0	0	 4 	0	0	 138 	0
105年 10月	0	0	0	0	 2 	0	 2 	 150 	0
105年 11月	0	0	0	 1 	 5 	0	0	 138 	0
105年 12月	0	0	0	0	 1 	0	0	 143 	0
