"","警察機關查獲毒品嫌疑犯人數─按職業狀況別分"
"","總計 / 職業別總計 ","總計 / 民意代表、主管及經理人員 ","總計 / 專業人員 ","總計 / 技術員及助理專業人員 ","總計 / 事務支援人員 ","總計 / 服務(不含保安)工作人員 ","總計 / 銷售及展示工作人員 ","總計 / 農、林、漁、牧業生產人員 ","總計 / 保安服務工作人員(含軍人) ","總計 / 技藝(技術)有關工作人員 ","總計 / 駕駛及移運設備操作人員 ","總計 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","總計 / 基層技術工及勞力工 ","總計 / 學生 ","總計 / 無職 ","總計 / 其他(含不詳) ","男 / 職業別總計 ","男 / 民意代表、主管及經理人員 ","男 / 專業人員 ","男 / 技術員及助理專業人員 ","男 / 事務支援人員 ","男 / 服務(不含保安)工作人員 ","男 / 銷售及展示工作人員 ","男 / 農、林、漁、牧業生產人員 ","男 / 保安服務工作人員(含軍人) ","男 / 技藝(技術)有關工作人員 ","男 / 駕駛及移運設備操作人員 ","男 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","男 / 基層技術工及勞力工 ","男 / 學生 ","男 / 無職 ","男 / 其他(含不詳) ","女 / 職業別總計 ","女 / 民意代表、主管及經理人員 ","女 / 專業人員 ","女 / 技術員及助理專業人員 ","女 / 事務支援人員 ","女 / 服務(不含保安)工作人員 ","女 / 銷售及展示工作人員 ","女 / 農、林、漁、牧業生產人員 ","女 / 保安服務工作人員(含軍人) ","女 / 技藝(技術)有關工作人員 ","女 / 駕駛及移運設備操作人員 ","女 / 駕駛及移運操作除外之機械設備操作及組裝人員 ","女 / 基層技術工及勞力工 ","女 / 學生 ","女 / 無職 ","女 / 其他(含不詳) "
"96年 11月","  4,447","     27","      8","     22","      6","    330","     75","     84","      9","    552","     45","    142","    819","     32","  2,149","    147","  3,891","     24","      5","     17","      3","    260","     53","     81","      9","    526","     44","    138","    790","     25","  1,787","    129","    556","      3","      3","      5","      3","     70","     22","      3","      -","     26","      1","      4","     29","      7","    362","     18"
"96年 12月","  3,984","     32","      5","     21","      1","    344","     73","     72","      7","    494","     44","    141","    706","     33","  1,880","    131","  3,410","     29","      3","     20","      -","    256","     56","     72","      7","    461","     44","    136","    682","     28","  1,511","    105","    574","      3","      2","      1","      1","     88","     17","      -","      -","     33","      -","      5","     24","      5","    369","     26"
"97年"," 52,762","    316","     90","    238","     58","  4,336","    778","  1,121","    118","  6,651","    585","  1,300"," 10,889","    428"," 24,026","  1,828"," 45,299","    302","     50","    205","     34","  3,267","    610","  1,099","    118","  6,285","    579","  1,238"," 10,426","    344"," 19,186","  1,556","  7,463","     14","     40","     33","     24","  1,069","    168","     22","      -","    366","      6","     62","    463","     84","  4,840","    272"
"97年 1月","  4,919","     32","      5","     21","      8","    411","     69","     96","     13","    590","     54","    141","  1,031","     41","  2,275","    132","  4,248","     31","      4","     19","      4","    305","     54","     94","     13","    563","     53","    131","    987","     33","  1,844","    113","    671","      1","      1","      2","      4","    106","     15","      2","      -","     27","      1","     10","     44","      8","    431","     19"
"97年 2月","  4,412","     29","     10","     14","      4","    332","     72","    103","     11","    497","     54","    122","    867","     28","  2,089","    180","  3,824","     28","      5","     10","      3","    241","     60","     99","     11","    474","     54","    118","    835","     20","  1,711","    155","    588","      1","      5","      4","      1","     91","     12","      4","      -","     23","      -","      4","     32","      8","    378","     25"
"97年 3月","  4,745","     27","      6","     14","      5","    368","     78","    107","     14","    617","     74","     87","    974","     51","  2,129","    194","  4,101","     27","      1","     12","      4","    272","     61","    105","     14","    589","     72","     85","    934","     42","  1,716","    167","    644","      -","      5","      2","      1","     96","     17","      2","      -","     28","      2","      2","     40","      9","    413","     27"
"97年 4月","  4,162","     25","      8","     27","      3","    351","     68","     98","     13","    437","     35","     98","    912","     33","  1,919","    135","  3,598","     23","      8","     22","      2","    266","     56","     97","     13","    415","     35","     94","    881","     29","  1,542","    115","    564","      2","      -","      5","      1","     85","     12","      1","      -","     22","      -","      4","     31","      4","    377","     20"
"97年 5月","  4,484","     34","      7","     21","      5","    330","     55","     87","      7","    543","     49","     96","    998","     38","  2,037","    177","  3,865","     31","      5","     16","      3","    245","     41","     83","      7","    514","     48","     88","    953","     33","  1,649","    149","    619","      3","      2","      5","      2","     85","     14","      4","      -","     29","      1","      8","     45","      5","    388","     28"
"97年 6月","  4,042","     19","      5","     16","      5","    306","     59","     84","      9","    461","     49","     87","    850","     26","  1,906","    160","  3,478","     17","      2","     14","      4","    240","     46","     82","      9","    432","     47","     84","    811","     18","  1,533","    139","    564","      2","      3","      2","      1","     66","     13","      2","      -","     29","      2","      3","     39","      8","    373","     21"
"97年 7月","  6,301","     36","     10","     36","      5","    514","     93","    131","     11","    793","     70","    193","  1,179","     62","  2,930","    238","  5,366","     35","      2","     34","      2","    415","     67","    131","     11","    743","     70","    179","  1,127","     50","  2,300","    200","    935","      1","      8","      2","      3","     99","     26","      -","      -","     50","      -","     14","     52","     12","    630","     38"
"97年 8月","  5,905","     29","     10","     24","      3","    458","     63","    139","     17","    870","     51","    129","  1,254","     39","  2,656","    163","  5,026","     28","      3","     19","      2","    328","     50","    138","     17","    818","     51","    125","  1,210","     26","  2,078","    133","    879","      1","      7","      5","      1","    130","     13","      1","      -","     52","      -","      4","     44","     13","    578","     30"
"97年 9月","  4,018","     18","      5","     16","      7","    349","     61","     82","      8","    509","     53","     81","    890","     26","  1,803","    110","  3,494","     17","      2","     14","      4","    267","     52","     80","      8","    484","     53","     79","    851","     23","  1,461","     99","    524","      1","      3","      2","      3","     82","      9","      2","      -","     25","      -","      2","     39","      3","    342","     11"
"97年 10月","  3,799","     21","      8","     22","      5","    349","     59","     80","      6","    491","     43","     91","    773","     36","  1,669","    146","  3,217","     21","      6","     20","      2","    265","     50","     79","      6","    461","     43","     85","    740","     31","  1,288","    120","    582","      -","      2","      2","      3","     84","      9","      1","      -","     30","      -","      6","     33","      5","    381","     26"
"97年 11月","  3,148","     28","      4","     11","      1","    290","     48","     63","      6","    437","     34","     94","    623","     22","  1,381","    106","  2,689","     27","      3","     11","      -","    222","     34","     61","      6","    412","     34","     89","    592","     17","  1,092","     89","    459","      1","      1","      -","      1","     68","     14","      2","      -","     25","      -","      5","     31","      5","    289","     17"
"97年 12月","  2,827","     18","     12","     16","      7","    278","     53","     51","      3","    406","     19","     81","    538","     26","  1,232","     87","  2,393","     17","      9","     14","      4","    201","     39","     50","      3","    380","     19","     81","    505","     22","    972","     77","    434","      1","      3","      2","      3","     77","     14","      1","      -","     26","      -","      -","     33","      4","    260","     10"
"98年"," 47,400","    263","     87","    234","     43","  4,572","    752","    943","    132","  5,165","    556","  1,115","  9,471","    600"," 21,953","  1,514"," 40,271","    250","     65","    215","     26","  3,472","    605","    915","    132","  4,819","    553","  1,064","  8,995","    461"," 17,436","  1,263","  7,129","     13","     22","     19","     17","  1,100","    147","     28","      -","    346","      3","     51","    476","    139","  4,517","    251"
"98年 1月","  3,619","     23","      4","     24","      3","    348","     56","     72","     11","    457","     39","     88","    747","     34","  1,639","     74","  3,114","     20","      2","     22","      2","    281","     48","     72","     11","    428","     39","     84","    708","     30","  1,300","     67","    505","      3","      2","      2","      1","     67","      8","      -","      -","     29","      -","      4","     39","      4","    339","      7"
"98年 2月","  4,021","     25","     11","     18","      5","    338","     57","     78","      8","    511","     51","     75","    807","     38","  1,886","    113","  3,460","     24","      8","     17","      3","    265","     49","     76","      8","    471","     51","     71","    773","     27","  1,526","     91","    561","      1","      3","      1","      2","     73","      8","      2","      -","     40","      -","      4","     34","     11","    360","     22"
"98年 3月","  4,108","     31","     13","     18","      5","    345","     80","     87","     15","    486","     55","     97","    758","     53","  1,941","    124","  3,464","     30","      7","     14","      2","    256","     66","     81","     15","    456","     55","     95","    720","     39","  1,526","    102","    644","      1","      6","      4","      3","     89","     14","      6","      -","     30","      -","      2","     38","     14","    415","     22"
"98年 4月","  4,038","     30","      9","     19","      4","    376","     74","     74","     14","    469","     53","     91","    804","     54","  1,862","    105","  3,444","     29","      5","     18","      1","    287","     62","     72","     14","    445","     53","     88","    763","     43","  1,473","     91","    594","      1","      4","      1","      3","     89","     12","      2","      -","     24","      -","      3","     41","     11","    389","     14"
"98年 5月","  3,703","     18","      3","     28","      5","    368","     61","     68","      8","    410","     40","     85","    723","     52","  1,709","    125","  3,160","     17","      3","     25","      1","    281","     51","     66","      8","    390","     40","     82","    693","     43","  1,359","    101","    543","      1","      -","      3","      4","     87","     10","      2","      -","     20","      -","      3","     30","      9","    350","     24"
"98年 6月","  3,116","     17","      4","     23","      3","    328","     58","     59","     16","    322","     30","     55","    620","     46","  1,434","    101","  2,630","     17","      3","     22","      3","    252","     47","     56","     16","    300","     29","     53","    592","     37","  1,125","     78","    486","      -","      1","      1","      -","     76","     11","      3","      -","     22","      1","      2","     28","      9","    309","     23"
"98年 7月","  5,482","     31","      7","     21","      4","    498","     76","    108","     10","    602","     65","    150","  1,089","     81","  2,611","    129","  4,633","     31","      7","     19","      3","    360","     58","    106","     10","    570","     65","    143","  1,027","     64","  2,064","    106","    849","      -","      -","      2","      1","    138","     18","      2","      -","     32","      -","      7","     62","     17","    547","     23"
"98年 8月","  4,976","     26","     10","     21","      5","    456","     80","    112","     13","    514","     51","    147","  1,011","     68","  2,303","    159","  4,214","     21","      7","     21","      2","    347","     61","    108","     13","    482","     51","    141","    961","     52","  1,822","    125","    762","      5","      3","      -","      3","    109","     19","      4","      -","     32","      -","      6","     50","     16","    481","     34"
"98年 9月","  3,694","     13","      5","     12","      1","    358","     60","     93","      7","    329","     55","     76","    758","     44","  1,724","    159","  3,130","     13","      5","     11","      1","    269","     46","     88","      7","    302","     55","     72","    716","     36","  1,367","    142","    564","      -","      -","      1","      -","     89","     14","      5","      -","     27","      -","      4","     42","      8","    357","     17"
"98年 10月","  3,844","     19","      5","     16","      3","    432","     56","     75","     11","    347","     29","     94","    774","     47","  1,815","    121","  3,219","     19","      4","     14","      3","    324","     42","     74","     11","    326","     29","     90","    730","     33","  1,421","     99","    625","      -","      1","      2","      -","    108","     14","      1","      -","     21","      -","      4","     44","     14","    394","     22"
"98年 11月","  3,572","     19","      7","     22","      4","    372","     45","     64","     11","    378","     55","     93","    701","     32","  1,618","    151","  3,036","     18","      7","     20","      4","    277","     33","     63","     11","    343","     55","     84","    668","     21","  1,305","    127","    536","      1","      -","      2","      -","     95","     12","      1","      -","     35","      -","      9","     33","     11","    313","     24"
"98年 12月","  3,227","     11","      9","     12","      1","    353","     49","     53","      8","    340","     33","     64","    679","     51","  1,411","    153","  2,767","     11","      7","     12","      1","    273","     42","     53","      8","    306","     31","     61","    644","     36","  1,148","    134","    460","      -","      2","      -","      -","     80","      7","      -","      -","     34","      2","      3","     35","     15","    263","     19"
"99年"," 51,078","    218","     92","    275","     41","  5,455","    704","  1,071","    129","  4,567","    563","  1,237"," 11,217","    742"," 22,778","  1,989"," 43,401","    207","     69","    236","     33","  4,040","    552","  1,055","    128","  4,358","    555","  1,156"," 10,698","    572"," 18,086","  1,656","  7,677","     11","     23","     39","      8","  1,415","    152","     16","      1","    209","      8","     81","    519","    170","  4,692","    333"
"99年 1月","  3,118","     12","      4","     15","      1","    359","     44","     49","      5","    294","     31","     45","    678","     47","  1,404","    130","  2,644","     12","      3","     13","      1","    263","     35","     49","      5","    275","     31","     43","    637","     36","  1,125","    116","    474","      -","      1","      2","      -","     96","      9","      -","      -","     19","      -","      2","     41","     11","    279","     14"
"99年 2月","  5,079","     25","      8","     26","      3","    563","     73","     94","     25","    479","     56","    101","  1,063","     70","  2,365","    128","  4,349","     24","      6","     23","      2","    430","     54","     92","     24","    455","     56","     97","  1,010","     59","  1,910","    107","    730","      1","      2","      3","      1","    133","     19","      2","      1","     24","      -","      4","     53","     11","    455","     21"
"99年 3月","  4,448","     19","     12","     22","      1","    511","     53","    100","     13","    403","     40","    113","    915","     68","  2,008","    170","  3,749","     19","      9","     22","      1","    380","     39","    100","     13","    378","     39","    104","    877","     48","  1,580","    140","    699","      -","      3","      -","      -","    131","     14","      -","      -","     25","      1","      9","     38","     20","    428","     30"
"99年 4月","  4,178","     22","      4","     23","      -","    426","     61","     83","      9","    355","     52","    107","    869","     59","  1,921","    187","  3,547","     21","      3","     21","      -","    319","     49","     83","      9","    335","     50","     99","    836","     41","  1,528","    153","    631","      1","      1","      2","      -","    107","     12","      -","      -","     20","      2","      8","     33","     18","    393","     34"
"99年 5月","  4,290","     21","      6","     26","      2","    464","     59","    101","      7","    405","     54","    109","    881","     62","  1,893","    200","  3,654","     20","      3","     23","      2","    351","     44","     98","      7","    386","     54","    101","    850","     50","  1,517","    148","    636","      1","      3","      3","      -","    113","     15","      3","      -","     19","      -","      8","     31","     12","    376","     52"
"99年 6月","  3,434","      9","      6","     16","      7","    372","     68","     67","      8","    309","     45","     76","    777","     40","  1,475","    159","  2,925","      8","      5","     15","      6","    272","     53","     65","      8","    297","     44","     72","    743","     26","  1,177","    134","    509","      1","      1","      1","      1","    100","     15","      2","      -","     12","      1","      4","     34","     14","    298","     25"
"99年 7月","  5,170","     26","     10","     26","      5","    468","     72","    103","     18","    442","     52","    165","  1,138","     79","  2,366","    200","  4,372","     24","      8","     20","      3","    349","     60","    100","     18","    430","     51","    154","  1,079","     66","  1,841","    169","    798","      2","      2","      6","      2","    119","     12","      3","      -","     12","      1","     11","     59","     13","    525","     31"
"99年 8月","  5,424","     18","      8","     28","      8","    537","     88","    128","     16","    447","     46","    129","  1,207","     82","  2,449","    233","  4,602","     18","      6","     26","      6","    408","     70","    127","     16","    431","     45","    122","  1,146","     62","  1,923","    196","    822","      -","      2","      2","      2","    129","     18","      1","      -","     16","      1","      7","     61","     20","    526","     37"
"99年 9月","  4,339","     14","      7","     27","      5","    462","     46","     78","     11","    375","     45","    104","    967","     47","  1,987","    164","  3,701","     14","      5","     24","      4","    348","     34","     78","     11","    361","     45","     96","    929","     38","  1,577","    137","    638","      -","      2","      3","      1","    114","     12","      -","      -","     14","      -","      8","     38","      9","    410","     27"
"99年 10月","  4,258","     21","      3","     19","      3","    461","     51","     77","      8","    375","     60","    120","    995","     58","  1,842","    165","  3,651","     19","      3","     16","      2","    330","     40","     77","      8","    362","     59","    110","    957","     45","  1,484","    139","    607","      2","      -","      3","      1","    131","     11","      -","      -","     13","      1","     10","     38","     13","    358","     26"
"99年 11月","  4,344","     25","     15","     30","      2","    452","     51","    114","      6","    388","     47","    114","  1,021","     85","  1,851","    143","  3,661","     22","     13","     18","      2","    315","     45","    110","      6","    371","     46","    106","    954","     64","  1,468","    121","    683","      3","      2","     12","      -","    137","      6","      4","      -","     17","      1","      8","     67","     21","    383","     22"
"99年 12月","  2,996","      6","      9","     17","      4","    380","     38","     77","      3","    295","     35","     54","    706","     45","  1,217","    110","  2,546","      6","      5","     15","      4","    275","     29","     76","      3","    277","     35","     52","    680","     37","    956","     96","    450","      -","      4","      2","      -","    105","      9","      1","      -","     18","      -","      2","     26","      8","    261","     14"
"100年"," 48,875","    178","    130","    250","     31","  6,012","    643","  1,159","    185","  4,617","    592","    844"," 11,575","    870"," 20,359","  1,430"," 41,453","    159","    117","    222","     18","  4,522","    523","  1,129","    183","  4,382","    588","    810"," 11,016","    672"," 15,927","  1,185","  7,422","     19","     13","     28","     13","  1,490","    120","     30","      2","    235","      4","     34","    559","    198","  4,432","    245"
"100年 1月","  4,425","     21","      5","     14","      3","    556","     65","     96","     15","    442","     49","    106","  1,010","     78","  1,843","    122","  3,772","     18","      5","     14","      2","    430","     54","     95","     14","    426","     49","     97","    964","     51","  1,453","    100","    653","      3","      -","      -","      1","    126","     11","      1","      1","     16","      -","      9","     46","     27","    390","     22"
"100年 2月","  3,282","      9","      8","     24","      3","    357","     41","     91","      7","    247","     44","     79","    776","     54","  1,454","     88","  2,820","      8","      8","     21","      3","    280","     36","     90","      7","    237","     44","     78","    746","     41","  1,147","     74","    462","      1","      -","      3","      -","     77","      5","      1","      -","     10","      -","      1","     30","     13","    307","     14"
"100年 3月","  4,489","     18","     14","     24","      5","    562","     51","    101","     20","    462","     46","     66","  1,046","     80","  1,840","    154","  3,818","     14","     13","     19","      4","    433","     45","     95","     20","    433","     44","     64","    992","     60","  1,451","    131","    671","      4","      1","      5","      1","    129","      6","      6","      -","     29","      2","      2","     54","     20","    389","     23"
"100年 4月","  3,931","     14","     17","     27","      2","    458","     38","     89","     16","    381","     32","     81","    879","     62","  1,707","    128","  3,308","     14","     11","     24","      2","    332","     30","     87","     16","    367","     32","     78","    827","     49","  1,331","    108","    623","      -","      6","      3","      -","    126","      8","      2","      -","     14","      -","      3","     52","     13","    376","     20"
"100年 5月","  4,108","      8","     18","     21","      1","    444","     65","    121","     15","    381","     45","    105","    941","     72","  1,764","    107","  3,470","      7","     17","     19","      1","    333","     48","    119","     15","    365","     45","    102","    900","     65","  1,344","     90","    638","      1","      1","      2","      -","    111","     17","      2","      -","     16","      -","      3","     41","      7","    420","     17"
"100年 6月","  3,349","     19","      7","     16","      2","    419","     39","     86","      9","    307","     46","     49","    819","     40","  1,398","     93","  2,841","     17","      6","     15","      1","    313","     31","     82","      9","    281","     45","     46","    781","     30","  1,107","     77","    508","      2","      1","      1","      1","    106","      8","      4","      -","     26","      1","      3","     38","     10","    291","     16"
"100年 7月","  5,723","     20","     11","     22","      4","    705","     94","    149","     13","    560","     71","     91","  1,313","    127","  2,349","    194","  4,859","     18","     10","     20","      1","    525","     75","    143","     13","    534","     71","     87","  1,258","    100","  1,841","    163","    864","      2","      1","      2","      3","    180","     19","      6","      -","     26","      -","      4","     55","     27","    508","     31"
"100年 8月","  5,582","     22","      8","     28","      1","    705","     58","    107","     28","    536","     84","     71","  1,310","    136","  2,365","    123","  4,727","     20","      7","     24","      -","    527","     45","    105","     28","    505","     84","     69","  1,232","    107","  1,880","     94","    855","      2","      1","      4","      1","    178","     13","      2","      -","     31","      -","      2","     78","     29","    485","     29"
"100年 9月","  3,555","     10","     14","     12","      2","    452","     53","     76","     17","    365","     30","     44","    828","     56","  1,473","    123","  3,001","     10","     14","     11","      2","    333","     41","     75","     17","    344","     30","     43","    787","     46","  1,146","    102","    554","      -","      -","      1","      -","    119","     12","      1","      -","     21","      -","      1","     41","     10","    327","     21"
"100年 10月","  3,766","     19","      9","     20","      2","    498","     45","    101","     25","    387","     48","     56","    895","     56","  1,480","    125","  3,205","     17","      8","     18","      1","    383","     40","     98","     24","    371","     48","     52","    848","     43","  1,152","    102","    561","      2","      1","      2","      1","    115","      5","      3","      1","     16","      -","      4","     47","     13","    328","     23"
"100年 11月","  3,918","     15","     10","     21","      4","    495","     56","     82","     15","    315","     49","     58","  1,037","     63","  1,611","     87","  3,304","     13","     10","     18","      1","    371","     43","     80","     15","    293","     49","     56","    987","     47","  1,250","     71","    614","      2","      -","      3","      3","    124","     13","      2","      -","     22","      -","      2","     50","     16","    361","     16"
"100年 12月","  2,747","      3","      9","     21","      2","    361","     38","     60","      5","    234","     48","     38","    721","     46","  1,075","     86","  2,328","      3","      8","     19","      -","    262","     35","     60","      5","    226","     47","     38","    694","     33","    825","     73","    419","      -","      1","      2","      2","     99","      3","      -","      -","      8","      1","      -","     27","     13","    250","     13"
"101年"," 47,043","    206","    139","    338","     25","  6,373","    677","  1,194","    194","  4,608","    636","    906"," 11,743","  1,217"," 17,430","  1,357"," 39,968","    195","    126","    303","     22","  4,751","    530","  1,140","    194","  4,358","    629","    853"," 11,204","    991"," 13,530","  1,142","  7,075","     11","     13","     35","      3","  1,622","    147","     54","      -","    250","      7","     53","    539","    226","  3,900","    215"
"101年 1月","  3,561","      9","     10","     22","      2","    467","     44","    105","     12","    330","     46","     55","    846","    105","  1,416","     92","  2,980","      9","     10","     19","      2","    340","     36","     98","     12","    305","     44","     51","    809","     74","  1,098","     73","    581","      -","      -","      3","      -","    127","      8","      7","      -","     25","      2","      4","     37","     31","    318","     19"
"101年 2月","  3,938","     20","     11","     20","      -","    494","     72","    101","     13","    355","     64","     61","    938","    113","  1,544","    132","  3,389","     20","     11","     19","      -","    379","     60","     98","     13","    333","     63","     60","    898","     91","  1,234","    110","    549","      -","      -","      1","      -","    115","     12","      3","      -","     22","      1","      1","     40","     22","    310","     22"
"101年 3月","  3,872","     15","     13","     29","      3","    480","     61","     96","     11","    331","     57","     93","    967","     67","  1,532","    117","  3,274","     15","     12","     23","      3","    371","     47","     92","     11","    312","     57","     89","    939","     57","  1,141","    105","    598","      -","      1","      6","      -","    109","     14","      4","      -","     19","      -","      4","     28","     10","    391","     12"
"101年 4月","  4,237","     14","      8","     32","      4","    586","     71","    124","     15","    412","     67","     67","  1,016","     67","  1,615","    139","  3,578","     12","      6","     31","      3","    430","     55","    115","     15","    391","     66","     63","    961","     59","  1,246","    125","    659","      2","      2","      1","      1","    156","     16","      9","      -","     21","      1","      4","     55","      8","    369","     14"
"101年 5月","  3,952","     15","      7","     27","      1","    555","     50","    105","     13","    449","     49","     80","    942","     66","  1,471","    122","  3,358","     13","      6","     25","      1","    416","     42","     95","     13","    430","     48","     78","    899","     48","  1,143","    101","    594","      2","      1","      2","      -","    139","      8","     10","      -","     19","      1","      2","     43","     18","    328","     21"
"101年 6月","  2,647","     20","      7","     13","      1","    337","     46","     71","     11","    255","     38","     50","    646","     19","  1,033","    100","  2,225","     18","      7","     10","      -","    243","     32","     67","     11","    245","     38","     47","    616","     15","    799","     77","    422","      2","      -","      3","      1","     94","     14","      4","      -","     10","      -","      3","     30","      4","    234","     23"
"101年 7月","  4,660","     17","     13","     38","      2","    578","     72","    115","     16","    457","     49","    110","  1,157","    232","  1,676","    128","  3,954","     15","     12","     34","      2","    435","     55","    113","     16","    438","     49","    100","  1,103","    199","  1,280","    103","    706","      2","      1","      4","      -","    143","     17","      2","      -","     19","      -","     10","     54","     33","    396","     25"
"101年 8月","  4,891","     26","      9","     36","      4","    683","     69","    119","     31","    447","     49","     85","  1,242","    250","  1,727","    114","  4,172","     26","      8","     31","      4","    525","     57","    117","     31","    422","     49","     79","  1,168","    206","  1,351","     98","    719","      -","      1","      5","      -","    158","     12","      2","      -","     25","      -","      6","     74","     44","    376","     16"
"101年 9月","  3,766","      9","     17","     25","      1","    574","     35","     84","     13","    354","     53","     95","    947","     77","  1,384","     98","  3,218","      9","     15","     24","      1","    413","     26","     82","     13","    335","     52","     88","    898","     63","  1,110","     89","    548","      -","      2","      1","      -","    161","      9","      2","      -","     19","      1","      7","     49","     14","    274","      9"
"101年 10月","  4,039","     19","     13","     29","      2","    501","     47","    109","     23","    452","     52","     59","  1,059","     71","  1,486","    117","  3,431","     18","     12","     24","      2","    363","     38","    102","     23","    421","     51","     57","  1,021","     61","  1,144","     94","    608","      1","      1","      5","      -","    138","      9","      7","      -","     31","      1","      2","     38","     10","    342","     23"
"101年 11月","  4,012","     21","     13","     34","      3","    567","     64","     94","     20","    406","     70","     88","  1,095","     60","  1,368","    109","  3,421","     20","     12","     31","      3","    423","     47","     91","     20","    388","     70","     83","  1,038","     44","  1,058","     93","    591","      1","      1","      3","      -","    144","     17","      3","      -","     18","      -","      5","     57","     16","    310","     16"
"101年 12月","  3,468","     21","     18","     33","      2","    551","     46","     71","     16","    360","     42","     63","    888","     90","  1,178","     89","  2,968","     20","     15","     32","      1","    413","     35","     70","     16","    338","     42","     58","    854","     74","    926","     74","    500","      1","      3","      1","      1","    138","     11","      1","      -","     22","      -","      5","     34","     16","    252","     15"
"102年"," 43,268","    188","    157","    308","     40","  6,532","    489","  1,069","    254","  4,885","    687","    887"," 11,623","  1,209"," 14,080","    860"," 36,994","    178","    133","    270","     30","  4,876","    389","  1,033","    252","  4,624","    680","    842"," 11,051","    982"," 10,935","    719","  6,274","     10","     24","     38","     10","  1,656","    100","     36","      2","    261","      7","     45","    572","    227","  3,145","    141"
"102年 1月","  3,586","     14","     19","     31","      5","    569","     44","     91","     21","    317","     51","     61","  1,004","    131","  1,163","     65","  3,022","     13","     17","     30","      2","    419","     34","     87","     21","    303","     51","     59","    940","    113","    882","     51","    564","      1","      2","      1","      3","    150","     10","      4","      -","     14","      -","      2","     64","     18","    281","     14"
"102年 2月","  4,349","     16","     17","     33","     10","    536","     40","    107","     15","    469","     51","     75","  1,165","    228","  1,492","     95","  3,702","     13","     15","     28","      8","    385","     29","    103","     15","    433","     50","     75","  1,111","    176","  1,185","     76","    647","      3","      2","      5","      2","    151","     11","      4","      -","     36","      1","      -","     54","     52","    307","     19"
"102年 3月","  4,202","     20","     13","     26","      4","    638","     54","     99","     17","    458","     67","     81","  1,101","    100","  1,461","     63","  3,610","     20","     13","     24","      3","    491","     45","     97","     16","    434","     67","     78","  1,050","     83","  1,136","     53","    592","      -","      -","      2","      1","    147","      9","      2","      1","     24","      -","      3","     51","     17","    325","     10"
"102年 4月","  3,368","     17","     16","     18","      2","    501","     48","     92","     27","    369","     53","     57","    919","     70","  1,100","     79","  2,891","     17","     15","     15","      2","    370","     39","     89","     27","    344","     52","     52","    877","     56","    866","     70","    477","      -","      1","      3","      -","    131","      9","      3","      -","     25","      1","      5","     42","     14","    234","      9"
"102年 5月","  3,737","     17","     10","     34","      6","    571","     59","    103","     24","    381","     69","     69","    990","     74","  1,247","     83","  3,234","     17","      9","     29","      4","    442","     48","    101","     24","    363","     69","     63","    948","     59","    989","     69","    503","      -","      1","      5","      2","    129","     11","      2","      -","     18","      -","      6","     42","     15","    258","     14"
"102年 6月","  3,056","     18","     12","     24","      -","    515","     26","     63","     26","    307","     44","     64","    858","     30","    986","     83","  2,596","     18","      8","     22","      -","    373","     21","     61","     26","    293","     42","     64","    817","     27","    755","     69","    460","      -","      4","      2","      -","    142","      5","      2","      -","     14","      2","      -","     41","      3","    231","     14"
"102年 7月","  3,989","     18","     17","     19","      5","    545","     44","     91","     28","    405","     60","     92","  1,047","    266","  1,281","     71","  3,431","     18","     16","     18","      5","    409","     29","     88","     28","    382","     59","     87","    991","    212","  1,029","     60","    558","      -","      1","      1","      -","    136","     15","      3","      -","     23","      1","      5","     56","     54","    252","     11"
"102年 8月","  3,822","     24","     15","     24","      2","    550","     39","    100","     20","    408","     68","     65","    997","    153","  1,286","     71","  3,270","     24","     10","     20","      1","    416","     31","     97","     20","    377","     67","     59","    949","    125","  1,016","     58","    552","      -","      5","      4","      1","    134","      8","      3","      -","     31","      1","      6","     48","     28","    270","     13"
"102年 9月","  3,306","     10","      7","     17","      1","    509","     28","     78","     19","    467","     66","     59","    899","     53","  1,023","     70","  2,848","      8","      5","     14","      -","    375","     24","     77","     19","    444","     66","     57","    855","     45","    797","     62","    458","      2","      2","      3","      1","    134","      4","      1","      -","     23","      -","      2","     44","      8","    226","      8"
"102年 10月","  3,501","     15","     18","     28","      2","    541","     45","     87","     24","    425","     49","    106","    957","     43","  1,089","     72","  2,987","     13","     14","     26","      2","    407","     37","     84","     23","    405","     48","     99","    905","     35","    828","     61","    514","      2","      4","      2","      -","    134","      8","      3","      1","     20","      1","      7","     52","      8","    261","     11"
"102年 11月","  3,664","      7","      8","     27","      1","    588","     37","    110","     19","    503","     54","    121","    963","     29","  1,129","     68","  3,120","      6","      7","     20","      1","    445","     31","    104","     19","    482","     54","    113","    918","     26","    837","     57","    544","      1","      1","      7","      -","    143","      6","      6","      -","     21","      -","      8","     45","      3","    292","     11"
"102年 12月","  2,688","     12","      5","     27","      2","    469","     25","     48","     14","    376","     55","     37","    723","     32","    823","     40","  2,283","     11","      4","     24","      2","    344","     21","     45","     14","    364","     55","     36","    690","     25","    615","     33","    405","      1","      1","      3","      -","    125","      4","      3","      -","     12","      -","      1","     33","      7","    208","      7"
