時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
93年 6月	 1,692 	 179 	 19 	 6 	 1 	 85 	 254 	 13 	 4 
93年 7月	 1,627 	 190 	 6 	 16 	0	 82 	 328 	 13 	 6 
93年 8月	 1,807 	 196 	 8 	 11 	 1 	 80 	 336 	 13 	0
93年 9月	 1,790 	 225 	 4 	 5 	 4 	 86 	 140 	 19 	 6 
93年 10月	 1,880 	 235 	 10 	 11 	 1 	 103 	 158 	 21 	 5 
93年 11月	 1,949 	 249 	 7 	 15 	 2 	 122 	 155 	 23 	 5 
93年 12月	 1,949 	 219 	 11 	 4 	0	 114 	 137 	 18 	 3 
94年	 20,995 	 2,463 	 96 	 158 	 3 	 1,146 	 3,472 	 280 	 65 
94年 1月	 2,171 	 228 	 5 	 12 	 1 	 57 	 91 	 18 	 8 
94年 2月	 1,462 	 145 	 4 	 13 	 1 	 58 	 101 	 10 	 3 
94年 3月	 1,895 	 253 	 10 	 16 	0	 94 	 181 	 18 	 6 
94年 4月	 1,703 	 311 	 7 	 16 	0	 67 	 201 	 24 	 4 
94年 5月	 1,735 	 292 	 13 	 11 	 1 	 77 	 442 	 17 	 5 
94年 6月	 1,863 	 210 	 8 	 6 	0	 91 	 469 	 27 	 4 
94年 7月	 1,870 	 204 	 6 	 14 	0	 115 	 310 	 32 	 3 
94年 8月	 2,010 	 150 	 10 	 17 	0	 127 	 750 	 28 	 9 
94年 9月	 1,538 	 165 	 8 	 11 	0	 106 	 233 	 22 	 7 
94年 10月	 1,496 	 199 	 9 	 10 	0	 113 	 239 	 28 	 6 
94年 11月	 1,800 	 153 	 5 	 18 	0	 135 	 223 	 35 	 3 
