"","警察機關查獲毒品嫌疑犯人數─按教育程度別分"
"","總計 / 教育程度總計 ","總計 / 不識字 ","總計 / 自修 ","總計 / 國小 ","總計 / 國中 ","總計 / 高中(職) ","總計 / 大專 ","總計 / 研究所(含)以上 ","總計 / 不詳 ","男 / 教育程度總計 ","男 / 不識字 ","男 / 自修 ","男 / 國小 ","男 / 國中 ","男 / 高中(職) ","男 / 大專 ","男 / 研究所(含)以上 ","男 / 不詳 ","女 / 教育程度總計 ","女 / 不識字 ","女 / 自修 ","女 / 國小 ","女 / 國中 ","女 / 高中(職) ","女 / 大專 ","女 / 研究所(含)以上 ","女 / 不詳 "
"95年 2月","  3,473","      7","      1","    224","  1,737","  1,362","    139","      -","      3","  2,881","      5","      -","    192","  1,473","  1,106","    103","      -","      2","    592","      2","      1","     32","    264","    256","     36","      -","      1"
"95年 3月","  3,538","      1","      -","    223","  1,794","  1,413","    105","      2","      -","  2,940","      -","      -","    187","  1,501","  1,164","     86","      2","      -","    598","      1","      -","     36","    293","    249","     19","      -","      -"
"95年 4月","  3,986","      4","      -","    225","  1,941","  1,699","    114","      1","      2","  3,304","      2","      -","    195","  1,625","  1,387","     92","      1","      2","    682","      2","      -","     30","    316","    312","     22","      -","      -"
"95年 5月","  3,624","      3","      -","    217","  1,846","  1,435","    112","      1","     10","  2,977","      2","      -","    183","  1,553","  1,133","     97","      1","      8","    647","      1","      -","     34","    293","    302","     15","      -","      2"
"95年 6月","  3,292","      3","      -","    213","  1,588","  1,391","     77","      -","     20","  2,742","      3","      -","    182","  1,347","  1,132","     63","      -","     15","    550","      -","      -","     31","    241","    259","     14","      -","      5"
"95年 7月","  3,982","      7","      -","    264","  2,137","  1,432","    111","      2","     29","  3,297","      6","      -","    224","  1,804","  1,155","     89","      2","     17","    685","      1","      -","     40","    333","    277","     22","      -","     12"
"95年 8月","  5,419","     12","      -","    356","  2,839","  2,042","    147","      3","     20","  4,508","      8","      -","    302","  2,414","  1,651","    119","      3","     11","    911","      4","      -","     54","    425","    391","     28","      -","      9"
"95年 9月","  3,866","      5","      -","    253","  2,008","  1,479","     98","      1","     22","  3,244","      1","      -","    218","  1,702","  1,224","     82","      1","     16","    622","      4","      -","     35","    306","    255","     16","      -","      6"
"95年 10月","  3,590","      8","      2","    210","  1,928","  1,333","     93","      2","     14","  3,014","      6","      1","    187","  1,633","  1,093","     81","      2","     11","    576","      2","      1","     23","    295","    240","     12","      -","      3"
"95年 11月","  4,242","      7","      2","    266","  2,089","  1,733","    120","      1","     24","  3,633","      6","      2","    232","  1,835","  1,439","     97","      1","     21","    609","      1","      -","     34","    254","    294","     23","      -","      3"
"95年 12月","  3,473","      5","      1","    246","  1,689","  1,432","     89","      4","      7","  2,921","      4","      1","    216","  1,434","  1,185","     70","      4","      7","    552","      1","      -","     30","    255","    247","     19","      -","      -"
"96年"," 53,681","     67","     11","  3,270"," 26,078"," 22,772","  1,320","     21","    142"," 45,663","     41","      5","  2,877"," 22,471"," 19,053","  1,072","     18","    126","  8,018","     26","      6","    393","  3,607","  3,719","    248","      3","     16"
"96年 1月","  3,425","      9","      -","    221","  1,623","  1,453","    104","      3","     12","  2,891","      7","      -","    183","  1,398","  1,197","     92","      2","     12","    534","      2","      -","     38","    225","    256","     12","      1","      -"
"96年 2月","  5,420","      6","      -","    338","  2,625","  2,302","    129","      1","     19","  4,572","      3","      -","    284","  2,274","  1,892","    101","      1","     17","    848","      3","      -","     54","    351","    410","     28","      -","      2"
"96年 3月","  4,357","      5","      1","    270","  2,069","  1,871","    136","      -","      5","  3,666","      2","      -","    243","  1,755","  1,554","    108","      -","      4","    691","      3","      1","     27","    314","    317","     28","      -","      1"
"96年 4月","  3,575","      3","      2","    181","  1,732","  1,551","     99","      1","      6","  3,025","      2","      2","    161","  1,479","  1,291","     84","      1","      5","    550","      1","      -","     20","    253","    260","     15","      -","      1"
"96年 5月","  4,255","      5","      2","    233","  2,092","  1,797","    110","      1","     15","  3,561","      4","      -","    204","  1,759","  1,484","     96","      1","     13","    694","      1","      2","     29","    333","    313","     14","      -","      2"
"96年 6月","  3,667","      7","      -","    246","  1,760","  1,546","     96","      2","     10","  3,099","      3","      -","    219","  1,493","  1,299","     76","      1","      8","    568","      4","      -","     27","    267","    247","     20","      1","      2"
"96年 7月","  5,347","     12","      -","    305","  2,675","  2,193","    131","      3","     28","  4,473","      7","      -","    276","  2,272","  1,795","     97","      3","     23","    874","      5","      -","     29","    403","    398","     34","      -","      5"
"96年 8月","  5,552","      8","      -","    350","  2,814","  2,239","    126","      1","     14","  4,772","      3","      -","    319","  2,457","  1,877","    102","      1","     13","    780","      5","      -","     31","    357","    362","     24","      -","      1"
"96年 9月","  4,750","      2","      1","    281","  2,335","  2,021","     97","      2","     11","  4,077","      2","      1","    238","  2,029","  1,721","     73","      2","     11","    673","      -","      -","     43","    306","    300","     24","      -","      -"
"96年 10月","  4,902","      2","      2","    326","  2,357","  2,087","    117","      4","      7","  4,226","      1","      1","    285","  2,054","  1,778","     97","      3","      7","    676","      1","      1","     41","    303","    309","     20","      1","      -"
"96年 11月","  4,447","      4","      1","    270","  2,128","  1,952","     87","      1","      4","  3,891","      4","      1","    246","  1,886","  1,679","     70","      1","      4","    556","      -","      -","     24","    242","    273","     17","      -","      -"
"96年 12月","  3,984","      4","      2","    249","  1,868","  1,760","     88","      2","     11","  3,410","      3","      -","    219","  1,615","  1,486","     76","      2","      9","    574","      1","      2","     30","    253","    274","     12","      -","      2"
