時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
97年 7月	 529 	 94 	 6 	 29 	0	 49 	 248 	 11 	 4 
97年 8月	 517 	 82 	 4 	 26 	0	 53 	 206 	 28 	 5 
97年 9月	 519 	 69 	 2 	 8 	0	 68 	 243 	 25 	 5 
97年 10月	 529 	 56 	 4 	 9 	0	 70 	 267 	 23 	 3 
97年 11月	 440 	 58 	 3 	 5 	0	 57 	 168 	 19 	 5 
97年 12月	 301 	 63 	 1 	 9 	0	 49 	 199 	 21 	 5 
98年	 6,057 	 638 	 49 	 221 	0	 630 	 2,609 	 213 	 66 
98年 1月	 829 	 60 	 7 	 45 	0	 38 	 224 	 10 	 2 
98年 2月	 652 	 45 	 3 	 49 	0	 51 	 202 	 15 	 10 
98年 3月	 371 	 39 	 2 	 11 	0	 61 	 268 	 21 	 6 
98年 4月	 513 	 56 	 3 	 15 	0	 64 	 230 	 15 	 5 
98年 5月	 394 	 57 	 3 	 14 	0	 44 	 226 	 13 	 2 
98年 6月	 457 	 68 	 6 	 12 	0	 42 	 199 	 10 	 6 
98年 7月	 507 	 66 	 5 	 20 	0	 67 	 228 	 22 	 8 
98年 8月	 545 	 47 	 6 	 14 	0	 66 	 252 	 19 	 9 
98年 9月	 548 	 49 	 1 	 12 	0	 55 	 249 	 30 	 3 
98年 10月	 489 	 48 	 2 	 14 	0	 51 	 211 	 18 	 6 
98年 11月	 457 	 34 	 6 	 5 	0	 42 	 165 	 16 	 5 
98年 12月	 295 	 69 	 5 	 10 	0	 49 	 155 	 24 	 4 
99年	 5,607 	 517 	 85 	 299 	0	 696 	 1,635 	 255 	 60 
99年 1月	 200 	 39 	 3 	 8 	0	 47 	 194 	 15 	 6 
99年 2月	 1,120 	 76 	 26 	 96 	0	 35 	 150 	 20 	 5 
99年 3月	 397 	 32 	 6 	 13 	0	 74 	 185 	 12 	 2 
99年 4月	 469 	 37 	 5 	 16 	0	 62 	 160 	 25 	 3 
99年 5月	 516 	 31 	 1 	 30 	0	 71 	 155 	 23 	 7 
99年 6月	 520 	 33 	 5 	 29 	0	 51 	 98 	 25 	 3 
99年 7月	 421 	 19 	0	 40 	0	 58 	 186 	 23 	 3 
99年 8月	 508 	 52 	 10 	 27 	0	 65 	 196 	 34 	 7 
99年 9月	 471 	 33 	 10 	 12 	0	 68 	 101 	 24 	 9 
99年 10月	 458 	 62 	 9 	 9 	0	 61 	 77 	 17 	 6 
99年 11月	 316 	 59 	 7 	 10 	0	 42 	 82 	 13 	 4 
99年 12月	 211 	 44 	 3 	 9 	0	 62 	 51 	 24 	 5 
100年	 4,750 	 549 	 118 	 256 	 1 	 705 	 1,168 	 306 	 46 
100年 1月	 593 	 77 	 14 	 55 	0	 41 	 101 	 18 	 1 
100年 2月	 545 	 74 	 60 	 60 	0	 42 	 92 	 13 	 9 
100年 3月	 239 	 28 	 2 	 12 	0	 55 	 89 	 21 	 5 
100年 4月	 283 	 31 	 5 	 21 	0	 61 	 71 	 32 	 2 
100年 5月	 323 	 40 	 4 	 18 	0	 59 	 112 	 20 	 2 
100年 6月	 373 	 56 	 2 	 11 	0	 55 	 122 	 32 	 6 
100年 7月	 432 	 41 	 6 	 20 	0	 69 	 136 	 23 	 3 
100年 8月	 391 	 44 	 9 	 9 	0	 70 	 125 	 34 	 3 
100年 9月	 505 	 49 	 2 	 11 	0	 73 	 80 	 31 	 6 
100年 10月	 457 	 42 	 5 	 17 	 1 	 69 	 100 	 26 	 5 
100年 11月	 360 	 39 	 7 	 14 	0	 58 	 85 	 26 	 1 
100年 12月	 249 	 28 	 2 	 8 	0	 53 	 55 	 30 	 3 
101年	 4,544 	 324 	 87 	 291 	0	 852 	 1,228 	 326 	 54 
101年 1月	 619 	 44 	 18 	 67 	0	 50 	 120 	 16 	 2 
