year,loc,total,male,female,15-19,15-19m,15-19f,20-24,20-24m,20-24f,25-29,25-29m,25-29f,30-34,30-34m,30-34f,35-39,35-39m,35-39f,40-44,40-44m,40-44f,45-49,45-49m,45-49f,50-54,50-54m,50-54f,55-59,55-59m,55-59f,60-64,60-64m,60-64f,65-,65-m,65-f
87,南部區域,3.0,3.3,2.6,9.2,9.1,9.3,7.6,8.6,6.9,3.9,4.5,3.2,2.6,3.1,1.7,2.1,2.7,1.1,1.8,2.3,1.0,2.1,2.6,1.0,1.8,2.3,0.8,1.5,1.9,0.5,0.8,1.0,0.2,0.2,0.3,0
87,高雄市,3.4,3.7,3.0,10.4,10.9,9.8,9.0,10.1,8.2,4.6,5.6,3.4,3.2,3.9,2.2,1.9,2.5,1.1,1.5,2.0,0.6,2.2,2.5,1.4,2.1,2.4,1.3,2.1,2.7,0.3,1.5,1.7,0,0,0,0
87,嘉義市,2.5,3.0,1.8,4.5,1.8,7.7,5.9,6.4,5.7,2.4,2.9,1.8,3.3,3.9,2.4,2.3,3.4,0.5,1.4,2.1,0.3,1.8,2.8,0.1,0.8,1.1,0.2,1.4,2.0,0,3.0,4.3,0,0,0,0
87,臺南市,3.9,4.5,3.1,9.7,10.6,8.7,10.9,11.7,10.3,5.3,6.9,3.6,2.7,3.9,1.2,2.9,4.1,1.4,2.2,2.8,1.4,2.9,3.6,1.6,1.8,2.7,0.1,0.9,1.2,0.2,0.8,0.5,1.5,0.3,0.4,0
87,嘉義縣,2.5,2.8,1.8,10.5,12.3,8.6,7.2,8.1,6.2,2.8,3.3,1.8,1.9,2.5,0.4,1.9,2.5,0.6,1.2,1.7,0.3,1.0,1.6,0,1.5,2.2,0.3,1.3,1.5,1.0,0.3,0.4,0,0.7,1.0,0
87,臺南縣,2.9,3.3,2.3,9.2,10.0,8.5,7.1,9.6,5.2,3.3,3.8,2.7,2.3,2.7,1.5,2.5,3.1,1.5,2.2,2.7,1.4,2.2,3.1,0.8,1.8,1.7,1.9,1.4,1.6,1.0,0.7,1.1,0,0,0,0
87,高雄縣,2.9,3.0,2.8,6.3,5.3,7.5,6.2,6.2,6.2,4.0,3.7,4.3,2.8,3.0,2.6,1.9,2.2,1.4,2.2,2.6,1.4,1.6,2.1,0.7,1.8,2.6,0.2,1.4,2.0,0,0.7,0.8,0.4,0.3,0.3,0
87,屏東縣,2.8,3.1,2.3,12.4,10.3,14.8,6.4,7.5,5.6,3.8,4.3,2.9,1.6,2.1,0.7,1.6,2.2,0.5,1.5,2.1,0.4,2.4,3.0,1.2,2.1,2.8,0.8,1.5,1.7,0.7,0.6,0.9,0,0,0,0
87,澎湖縣,1.7,1.7,1.8,4.4,4.7,4.2,6.9,8.0,6.1,2.5,2.5,2.6,1.3,1.9,0,0.5,0.6,0.4,0.5,0.7,0,0.1,0,0.4,0.2,0.2,0,0.7,0.8,0,0,0,0,0,0,0
87,東部區域,3.0,3.4,2.4,10.1,10.1,10.0,6.0,6.2,5.8,4.0,4.1,3.7,2.6,3.3,1.2,2.3,3.2,0.7,2.1,2.6,1.1,1.6,2.3,0.3,2.3,3.1,0.8,1.2,1.8,0,0.6,0.8,0,0,0,0
