,時間,縣市,一般及機車竊盜,汽車竊盜,贓物,賭博,重傷害,一般傷害,詐欺背信,妨害自由,故意殺人,過失致死,駕駛過失,妨害家庭及婚姻,妨害風化,強制性交,共同強制性交,對幼性交,性交猥褻,重大恐嚇取財,一般恐嚇取財,擄人勒贖,侵占,偽造文書印文,第一級毒品,第二級毒品,第三級毒品,第四級毒品,毀棄損壞,妨害公務,妨害電腦使用,強盜,搶奪,內亂,重利,竊佔,偽造有價證券,妨害秩序,違反藥事法,違反國家總動員法,違反森林法,違反著作權法,違反專利法,違反商標法,公共危險,侵害墳墓屍體,妨害名譽,違反就業服務法,違反選罷法,妨害秘密,遺棄,違反貪污治罪條例,瀆職,懲治走私條例,妨害兵役,偽造貨幣,偽造度量衡,偽證,誣告,湮滅證據,藏匿頂替,脫逃,違反槍砲彈藥刀械管制條例,其他_x,其他_y
104,97年,臺南市," 6,620 ", 810 ,61,290,1,710," 2,587 ",257,74,4, 835 ,25,197,90,5,16,63,0,303,1,216,263," 2,578 ", 903 ,24,0,163,28,85,161,103,0,270,15,3,12,0,0,0,96,0,90," 3,733 ",0,87,3,31,5,10,3,0,1,0,4,0,1,45,1,0,0,125,2,386
117,98年,臺南市," 6,057 ", 638 ,49,221,0,630," 2,609 ",213,66,1, 714 ,17,135,127,4,15,39,0,287,2,158,160," 2,040 ", 974 ,32,1,160,45,75,93,129,0,149,20,2,10,4,0,8,72,0,78," 4,055 ",1,106,0,0,18,6,1,0,0,0,13,0,0,39,0,2,0,91,1,318
130,99年,臺南市," 5,607 ", 517 ,85,299,0,696," 1,635 ",255,60,3," 1,053 ",31,125,112,3,14,70,0,172,1,212,136," 1,468 "," 1,403 ",47,0,165,45,49,77,91,0,188,39,1,5,42,0,6,70,0,57," 4,229 ",1,160,5,103,14,8,0,1,0,0,3,0,0,33,0,2,0,95,0,330
143,100年,臺南市," 4,750 ", 549 ,118,256,1,705," 1,168 ",306,46,4," 1,214 ",42,126,120,4,14,77,0,95,0,194,130," 1,221 "," 1,467 ",100,0,179,54,23,63,55,0,76,28,8,10,15,0,3,46,0,24," 4,435 ",0,174,4,1,12,11,1,5,1,0,9,0,0,36,1,1,0,113,0,295
156,101年,臺南市," 4,544 ", 324 ,87,291,0,852," 1,228 ",326,54,7," 1,487 ",52,81,126,8,15,156,0,109,2,275,101," 1,194 "," 1,549 ",85,0,213,57,50,72,38,0,98,27,6,5,9,0,0,43,0,40," 4,646 ",0,172,2,6,19,12,0,1,0,3,6,0,0,31,1,2,1,96,1,304
169,102年,臺南市," 3,979 ", 231 ,45,276,2,972," 1,208 ",464,33,2," 1,903 ",60,60,118,1,15,133,0,132,1,355,171, 823 ," 1,332 ",163,1,304,59,9,53,31,0,112,51,5,2,19,0,0,49,0,66," 5,793 ",1,291,0,0,24,14,0,3,1,0,4,0,4,54,1,0,0,87,0,386
182,103年,臺南市," 4,104 ", 235 ,68,249,2,956," 1,481 ",460,37,4," 1,981 ",52,49,140,4,11,127,0,154,3,351,172, 790 ," 1,415 ",136,1,328,59,28,49,58,0,108,40,7,2,16,0,2,49,0,78," 6,629 ",1,348,3,43,32,11,0,3,1,0,6,0,7,63,0,3,0,99,1,422
195,104年,臺南市," 3,779 ", 288 ,36,251,2,907," 1,841 ",462,39,4," 2,012 ",67,63,112,0,27,105,0,121,1,364,203, 902 ," 2,075 ",165,4,329,80,30,39,36,0,132,40,5,3,35,0,3,53,0,72," 7,349 ",0,350,0,2,37,17,1,44,0,1,7,0,11,59,4,5,0,111,4,432
208,105年,臺南市," 3,268 ", 176 ,19,304,2,947," 2,522 ",538,32,1," 1,984 ",46,42,45,5,17,158,0,125,0,331,155, 784 ," 2,118 ",64,0,374,99,21,38,27,0,101,52,5,4,2,0,0,69,0,40," 7,173 ",0,357,0,0,27,11,0,4,1,0,7,0,4,38,2,3,0,114,1,378
0,89年,高雄市(99年改制前)," 10,288 ", 972 ,102,231,9,609, 161 ,91,95,3,240,59, 122 ,73,4,18,25,0,248,1,66,166," 1,516 "," 1,612 ",2,0,66,35,0,149,541,0,68,16,1,19,5,0,0,188,3,63," 1,473 ",0,9,35,0,0,5,0,1,11,0,7,0,0,48,0,1,1,107,30, 196 
13,90年,高雄市(99年改制前)," 11,553 "," 1,571 ",79,102,5,700, 129 ,50,44,23,210,47, 164 ,83,1,21,48,0,80,2,71,86," 1,085 ", 513 ,0,0,65,20,0,171,416,0,25,3,4,6,1,0,1,101,7,22," 1,381 ",0,19,35,10,1,1,0,0,5,0,33,0,0,41,0,0,1,74,128, 173 
26,91年,高雄市(99年改制前)," 13,487 "," 2,101 ",61,170,7,607, 309 ,73,89,31,206,31, 174 ,101,8,22,36,5,75,1,137,153," 1,475 ", 573 ,14,0,53,20,0,198,659,0,17,3,7,6,0,0,0,191,1,56," 1,279 ",0,25,17,34,0,2,2,2,5,0,8,0,0,56,0,2,0,98,554, 463 
39,92年,高雄市(99年改制前)," 12,676 "," 2,424 ",70,165,23,521, 500 ,53,67,57,182,25, 154 ,119,13,23,31,0,115,2,137,137," 1,194 ", 535 ,14,0,59,24,0,166,524,0,24,5,8,5,1,0,0,132,0,130," 1,314 ",0,17,6,7,1,5,0,1,1,0,21,0,0,61,0,0,1,100,976, 708 
52,93年,高雄市(99年改制前)," 11,963 "," 1,767 ",61,121,7,496," 1,022 ",44,92,53,133,18, 316 ,91,8,25,20,1,46,1,93,161," 1,703 ", 728 ,49,0,72,25,0,189,410,0,18,8,2,0,0,0,0,69,0,131," 2,111 ",0,22,5,11,1,3,0,0,1,0,35,0,0,41,0,3,1,217,845," 1,178 "
65,94年,高雄市(99年改制前)," 12,413 "," 1,657 ",37,172,9,657," 1,272 ",79,90,80,224,21, 392 ,117,7,16,47,1,79,3,140,164," 3,376 "," 1,368 ",31,0,81,38,52,184,673,0,30,5,2,9,1,0,0,77,0,64," 2,571 ",0,31,6,0,3,3,0,0,0,0,10,0,1,43,0,1,0,199,574," 1,330 "
