時間	過失致死	駕駛過失	妨害家庭及婚姻	妨害風化	強制性交	共同強制性交	對幼性交	性交猥褻	重大恐嚇取財
101年 7月	0	 8 	 1 	 8 	 5 	 1 	 1 	 12 	0
101年 8月	0	 4 	 1 	 41 	 6 	 1 	 1 	 15 	0
101年 9月	0	 6 	 2 	 38 	 3 	0	 1 	 14 	0
101年 10月	0	 6 	0	 15 	 1 	0	0	 11 	0
101年 11月	0	 2 	 1 	 11 	 1 	0	0	 8 	0
101年 12月	0	 1 	0	 17 	 5 	0	0	 8 	0
102年	0	 43 	 10 	 152 	 23 	 1 	 15 	 103 	0
102年 1月	0	 9 	0	 33 	 1 	 1 	0	 8 	0
102年 2月	0	0	0	 1 	 5 	0	 1 	 6 	0
102年 3月	0	 2 	 1 	 29 	 1 	0	 1 	 9 	0
102年 4月	0	 2 	 3 	 13 	 2 	0	 3 	 12 	0
102年 5月	0	0	 1 	 16 	0	0	 1 	 16 	0
102年 6月	0	 5 	0	 5 	 3 	0	0	 6 	0
102年 7月	0	 3 	 1 	 16 	 1 	0	 1 	 15 	0
102年 8月	0	 3 	0	 13 	 2 	0	 4 	 6 	0
102年 9月	0	0	0	 6 	 1 	0	0	 3 	0
102年 10月	0	 7 	 1 	 12 	 5 	0	 1 	 4 	0
102年 11月	0	 5 	 2 	 3 	 1 	0	 1 	 13 	0
102年 12月	0	 7 	 1 	 5 	 1 	0	 2 	 5 	0
103年	0	 63 	 17 	 129 	 27 	 1 	 9 	 98 	0
103年 1月	0	 6 	0	 16 	 4 	0	 4 	 8 	0
103年 2月	0	0	 1 	 11 	 1 	0	 1 	 4 	0
103年 3月	0	 1 	 3 	 11 	 2 	0	 1 	 3 	0
103年 4月	0	 4 	0	 9 	 2 	0	 1 	 5 	0
103年 5月	0	 2 	 1 	 12 	 1 	0	0	 11 	0
103年 6月	0	0	 1 	 7 	 5 	0	0	 13 	0
103年 7月	0	 7 	 1 	 11 	 2 	0	0	 13 	0
103年 8月	0	 6 	 2 	 17 	 2 	0	0	 7 	0
103年 9月	0	 6 	 2 	 11 	 2 	 1 	0	 9 	0
103年 10月	0	 7 	 2 	 8 	 5 	0	 2 	 10 	0
103年 11月	0	 11 	 2 	 7 	0	0	0	 8 	0
103年 12月	0	 13 	 2 	 9 	 1 	0	0	 7 	0
104年	0	 112 	 8 	 159 	 19 	0	 8 	 95 	0
104年 1月	0	 9 	 1 	 15 	 1 	0	 1 	 6 	0
104年 2月	0	 1 	0	 1 	 2 	0	 1 	 10 	0
104年 3月	0	 3 	 2 	 23 	0	0	0	 8 	0
104年 4月	0	 2 	0	 22 	0	0	0	 9 	0
104年 5月	0	 5 	0	 20 	 1 	0	0	 7 	0
104年 6月	0	 6 	0	 36 	 1 	0	0	 6 	0
104年 7月	0	 11 	0	 5 	 1 	0	0	 5 	0
104年 8月	0	 1 	0	 9 	 2 	0	0	 10 	0
104年 9月	0	0	0	 10 	 2 	0	 1 	 4 	0
104年 10月	0	 25 	 2 	 12 	 4 	0	0	 13 	0
104年 11月	0	 24 	 2 	 5 	 5 	0	 3 	 9 	0
104年 12月	0	 25 	 1 	 1 	0	0	 2 	 8 	0
105年	0	 217 	 11 	 102 	 22 	0	 3 	 90 	0
105年 1月	0	 18 	 1 	 21 	 2 	0	0	 5 	0
105年 2月	0	 29 	0	 8 	 1 	0	0	 6 	0
105年 3月	0	 33 	 3 	 17 	 1 	0	0	 8 	0
105年 4月	0	 18 	 1 	 8 	 1 	0	 1 	 8 	0
105年 5月	0	 13 	0	 9 	 4 	0	0	 15 	0
105年 6月	0	 34 	 1 	 13 	 5 	0	 1 	 8 	0
105年 7月	0	 4 	0	 3 	 1 	0	0	 11 	0
105年 8月	0	 7 	 1 	 2 	 6 	0	0	 7 	0
105年 9月	0	 1 	0	 6 	 1 	0	0	 6 	0
105年 10月	0	 14 	 2 	 9 	0	0	 1 	 5 	0
105年 11月	0	 13 	 1 	 3 	0	0	0	 6 	0
105年 12月	0	 33 	 1 	 3 	0	0	0	 5 	0
