時間	一般恐嚇取財	擄人勒贖	侵占	偽造文書印文	第一級毒品	第二級毒品	第三級毒品	第四級毒品	其他
102年 8月	 3 	0	 35 	 20 	 150 	 186 	 19 	0	0
102年 9月	 3 	0	 31 	 19 	 137 	 190 	 5 	0	0
102年 10月	 8 	0	 40 	 18 	 120 	 174 	 8 	 1 	0
102年 11月	 4 	0	 37 	 21 	 155 	 172 	 14 	0	0
102年 12月	 5 	0	 44 	 16 	 125 	 151 	 9 	0	0
103年	 83 	0	 374 	 195 	 1,462 	 1,906 	 129 	 5 	 1 
103年 1月	 3 	0	 28 	 12 	 125 	 172 	 13 	 1 	0
103年 2月	 3 	0	 27 	 10 	 117 	 157 	 16 	0	0
103年 3月	 8 	0	 27 	 23 	 109 	 147 	 12 	0	0
103年 4月	 12 	0	 37 	 16 	 138 	 166 	 10 	 1 	0
103年 5月	 6 	0	 33 	 17 	 130 	 146 	 6 	0	0
103年 6月	 4 	0	 31 	 16 	 142 	 154 	 6 	 1 	0
103年 7月	 8 	0	 36 	 15 	 123 	 170 	 16 	0	0
103年 8月	 10 	0	 19 	 15 	 107 	 159 	 15 	0	 1 
103年 9月	 12 	0	 28 	 15 	 117 	 178 	 7 	 1 	0
103年 10月	 8 	0	 47 	 15 	 121 	 155 	 8 	 1 	0
103年 11月	 5 	0	 30 	 25 	 142 	 165 	 14 	0	0
103年 12月	 4 	0	 31 	 16 	 91 	 137 	 6 	0	0
104年	 51 	0	 311 	 196 	 1,644 	 2,816 	 210 	 1 	 3 
104年 1月	 2 	0	 24 	 14 	 90 	 146 	 6 	0	0
104年 2月	 1 	0	 20 	 6 	 142 	 151 	 18 	0	0
104年 3月	 7 	0	 30 	 18 	 138 	 200 	 9 	0	0
104年 4月	 3 	0	 27 	 28 	 137 	 238 	 12 	0	0
104年 5月	 9 	0	 23 	 17 	 150 	 241 	 18 	0	0
104年 6月	 4 	0	 22 	 9 	 131 	 248 	 14 	0	0
104年 7月	 2 	0	 28 	 17 	 126 	 245 	 24 	 1 	0
104年 8月	 2 	0	 23 	 25 	 137 	 292 	 54 	0	0
104年 9月	 4 	0	 29 	 14 	 143 	 231 	 19 	0	0
104年 10月	 8 	0	 26 	 21 	 120 	 246 	 6 	0	 2 
104年 11月	 4 	0	 26 	 14 	 174 	 296 	 16 	0	 1 
104年 12月	 5 	0	 33 	 13 	 156 	 282 	 14 	0	0
105年	 47 	0	 393 	 241 	 1,824 	 3,545 	 155 	 5 	0
105年 1月	 4 	0	 26 	 24 	 100 	 212 	 9 	0	0
105年 2月	0	0	 20 	 17 	 67 	 157 	 11 	 2 	0
105年 3月	 6 	0	 29 	 20 	 173 	 329 	 12 	0	0
105年 4月	 6 	0	 41 	 18 	 188 	 335 	 15 	0	0
105年 5月	 6 	0	 38 	 20 	 177 	 316 	 18 	0	0
105年 6月	 2 	0	 28 	 17 	 171 	 246 	 4 	0	0
105年 7月	 2 	0	 47 	 23 	 192 	 404 	 30 	 1 	0
105年 8月	 5 	0	 39 	 28 	 191 	 349 	 22 	 1 	0
105年 9月	 3 	0	 32 	 20 	 104 	 241 	 4 	 1 	0
105年 10月	 4 	0	 32 	 22 	 143 	 310 	 10 	0	0
105年 11月	 4 	0	 24 	 12 	 179 	 338 	 15 	0	0
105年 12月	 5 	0	 37 	 20 	 139 	 308 	 5 	0	0
