時間	一般及機車竊盜	汽車竊盜	贓物	賭博	重傷害	一般傷害	詐欺背信	妨害自由	故意殺人
100年 7月	 74 	 5 	0	 8 	0	 29 	 16 	 11 	0
100年 8月	 89 	 6 	 1 	 10 	0	 25 	 44 	 12 	 1 
100年 9月	 80 	 4 	 2 	 13 	0	 38 	 30 	 12 	 1 
100年 10月	 73 	 2 	0	 11 	0	 33 	 38 	 7 	0
100年 11月	 96 	 9 	0	 11 	0	 29 	 20 	 16 	 2 
100年 12月	 61 	 6 	 1 	 9 	0	 35 	 15 	 15 	 1 
101年	 1,015 	 124 	 26 	 132 	0	 314 	 288 	 160 	 13 
101年 1月	 113 	 14 	 1 	 20 	0	 13 	 37 	 6 	 1 
101年 2月	 93 	 6 	 1 	 16 	0	 28 	 22 	 12 	0
101年 3月	 78 	 10 	 5 	 16 	0	 22 	 26 	 10 	 2 
101年 4月	 92 	 4 	 3 	 12 	0	 31 	 18 	 15 	0
101年 5月	 56 	 16 	 1 	 6 	0	 23 	 37 	 17 	 1 
101年 6月	 75 	 3 	 1 	 7 	0	 27 	 28 	 16 	0
101年 7月	 107 	 18 	 2 	 6 	0	 31 	 30 	 12 	 2 
101年 8月	 90 	 13 	0	 10 	0	 35 	 18 	 8 	 1 
101年 9月	 91 	 12 	 3 	 3 	0	 20 	 13 	 18 	 2 
101年 10月	 87 	 6 	 4 	 17 	0	 29 	 20 	 22 	 1 
101年 11月	 74 	 13 	 4 	 8 	0	 25 	 26 	 11 	 2 
101年 12月	 59 	 9 	 1 	 11 	0	 30 	 13 	 13 	 1 
102年	 944 	 60 	 34 	 181 	0	 308 	 294 	 183 	 19 
102年 1月	 44 	 3 	 9 	 8 	0	 22 	 7 	 14 	0
102年 2月	 199 	 11 	 4 	 32 	0	 12 	 20 	 13 	 1 
102年 3月	 85 	 6 	 3 	 14 	0	 19 	 18 	 15 	 2 
102年 4月	 78 	 3 	 3 	 7 	0	 28 	 19 	 15 	0
102年 5月	 60 	 3 	 2 	 14 	0	 36 	 30 	 17 	 2 
102年 6月	 85 	 6 	 5 	 19 	0	 23 	 18 	 8 	 2 
102年 7月	 73 	 5 	 2 	 13 	0	 35 	 18 	 19 	 3 
102年 8月	 67 	 4 	 1 	 19 	0	 28 	 32 	 17 	0
102年 9月	 73 	 1 	0	 11 	0	 33 	 19 	 14 	 3 
102年 10月	 73 	 5 	 3 	 17 	0	 23 	 50 	 19 	 3 
102年 11月	 70 	 8 	0	 17 	0	 19 	 45 	 17 	 2 
102年 12月	 37 	 5 	 2 	 10 	0	 30 	 18 	 15 	 1 
103年	 1,042 	 126 	 12 	 170 	0	 317 	 333 	 168 	 18 
103年 1月	 148 	 14 	 1 	 30 	0	 20 	 21 	 14 	 1 
103年 2月	 96 	 6 	 2 	 24 	0	 21 	 31 	 14 	 3 
103年 3月	 56 	 6 	 1 	 10 	0	 26 	 23 	 15 	0
103年 4月	 58 	 13 	0	 14 	0	 14 	 20 	 11 	0
103年 5月	 100 	 13 	0	 14 	0	 31 	 28 	 15 	 3 
103年 6月	 101 	 13 	 1 	 16 	0	 33 	 26 	 7 	 3 
103年 7月	 107 	 10 	 1 	 19 	0	 31 	 25 	 7 	0
103年 8月	 70 	 22 	 2 	 5 	0	 27 	 35 	 17 	 3 
